,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Fort-Shevchenko,KZ,44.5086,50.263,21.87,67,100,18.72
138,Yuzhno-Kurilsk,RU,44.0306,145.8556,28.9,62,100,10.87
139,Panama City,PA,8.9936,-79.5197,78.75,87,75,5.75
140,Kijang,KR,35.2442,129.2139,42.53,31,46,2.91
141,Belaya Gora,RU,68.5333,146.4167,-28.41,97,100,3.09
142,Port Augusta,AU,-32.5,137.7667,100.13,11,69,5.23
143,Oxbow,CA,49.2333,-102.1676,17.2,92,5,8.46
144,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,13.78,88,98,7.23
145,Ulaanbaatar,MN,47.9077,106.8832,-9.27,77,40,2.24
146,Araouane,ML,18.9048,-3.5265,63.57,18,100,12.35
147,Iqaluit,CA,63.7506,-68.5145,-15.07,76,40,26.46
148,Kalmunai,LK,7.4167,81.8167,78.31,81,52,12.33
149,Cockburn Town,TC,21.4612,-71.1419,78.08,73,0,18.37
150,Imperatriz,BR,-5.5264,-47.4917,72.3,95,87,1.83
151,Ahipara,NZ,-35.1667,173.1667,73.71,73,14,6.2
152,Agogo,GH,6.8,-1.0819,68.32,95,32,2.8
153,Provideniya,RU,64.3833,-173.3,1.0,94,100,10.36
154,Cidreira,BR,-30.1811,-50.2056,71.35,73,2,13.2
155,San Patricio,US,28.017,-97.5169,73.83,93,21,9.31
156,Saint Andrews,US,34.0454,-81.1293,47.41,75,75,0.0
157,Angahuan,MX,19.55,-102.1833,45.63,74,0,0.56
158,Bafq,IR,31.6128,55.4107,44.2,51,0,2.39
159,Brokopondo,SR,4.75,-55.1667,74.61,92,100,7.63
160,Talnakh,RU,69.4865,88.3972,-30.8,99,100,9.82
161,Sur,OM,22.5667,59.5289,68.09,73,0,1.32
162,Souillac,MU,-20.5167,57.5167,77.38,83,40,8.05
163,Concarneau,FR,47.875,-3.9225,48.99,78,8,18.3
164,Nova Floresta,BR,-6.4553,-36.2033,68.23,90,100,11.95
165,Hermanus,ZA,-34.4187,19.2345,64.8,79,6,10.51
166,Havelock,US,34.8791,-76.9013,51.75,87,0,0.0
167,Lagoa,PT,39.05,-27.9833,61.16,87,95,25.52
168,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.52,94,100,11.21
169,Rocha,UY,-34.4833,-54.3333,64.29,95,0,8.14
170,Velsk,RU,61.0701,42.0983,-20.67,98,7,3.11
171,Makakilo City,US,21.3469,-158.0858,80.35,66,0,10.36
172,Eydhafushi,MV,5.1033,73.0708,80.37,75,51,9.98
173,Jalingo,NG,8.8833,11.3667,69.62,23,47,4.99
174,Bezhetsk,RU,57.7851,36.6965,-8.28,100,81,5.32
175,Verkhnyachka,UA,48.8285,30.0396,23.49,56,100,10.22
176,Fortuna,US,40.5982,-124.1573,52.66,90,100,13.0
177,Westport,US,41.1415,-73.3579,40.82,76,0,5.75
178,Noumea,NC,-22.2763,166.4572,85.98,66,100,14.18
179,Tasiilaq,GL,65.6145,-37.6368,15.96,57,17,9.62
180,Tomatlan,MX,19.9333,-105.25,67.87,87,0,3.33
181,Isabela,PH,6.7085,121.9711,86.05,71,100,5.66
182,Patos,BR,-7.0244,-37.28,78.24,64,71,6.42
183,Adrar,MR,20.5022,-10.0711,62.62,19,100,13.51
184,Bilma,NE,18.6853,12.9164,61.59,33,5,9.82
185,Ketchikan,US,55.3422,-131.6461,45.07,81,75,14.97
186,Sakakah,SA,29.9697,40.2064,47.77,62,100,3.96
187,Tazovskiy,RU,67.4667,78.7,-38.81,98,65,5.95
188,Ondjiva,AO,-17.0667,15.7333,72.5,33,100,6.51
189,Alofi,NU,-19.0595,-169.9187,84.09,79,91,11.5
190,Buala,SB,-8.145,159.5921,84.9,64,100,5.12
191,Coahuayana,MX,18.7333,-103.6833,71.17,88,0,3.02
192,Naruja,GE,41.9069,41.9542,35.92,96,100,2.13
193,Wajima,JP,37.4,136.9,41.68,87,75,2.3
194,Canatlan,MX,24.5167,-104.7833,53.33,27,8,5.01
195,Columbia,US,34.0007,-81.0348,47.32,76,75,0.0
196,Anadyr,RU,64.75,177.4833,7.3,78,100,8.95
197,Pervomayskiy,RU,53.2485,40.2871,1.69,85,12,7.09
198,Torbay,CA,47.6666,-52.7314,30.58,87,75,5.01
199,Carlos Antonio Lopez,PY,-26.4,-54.7667,65.39,56,0,1.41
200,Kayankulam,IN,9.1833,76.5,81.97,67,0,7.76
201,Ponta Do Sol,PT,32.6667,-17.1,64.71,73,34,6.96
202,Launceston,AU,-41.45,147.1667,73.04,49,0,13.8
203,Chunar,IN,25.1333,82.9,44.65,34,0,6.29
204,Suntar,RU,62.1444,117.6319,-6.32,98,100,3.29
205,Bokajan,IN,26.0167,93.7833,59.16,82,0,2.3
206,Storforshei,NO,66.4043,14.5233,28.18,59,100,20.71
207,Dabakala,CI,8.3667,-4.4333,75.34,31,93,1.61
208,Platanos,GR,37.6667,21.6167,54.09,84,3,4.56
209,Ulladulla,AU,-35.35,150.4667,69.89,52,1,7.99
210,Mettet,BE,50.3212,4.6623,47.82,87,75,14.97
211,Kokoda,PG,-8.8785,147.7407,87.98,62,100,2.53
212,Odesskoye,RU,54.2111,72.9651,27.66,97,100,8.48
213,Quchan,IR,37.106,58.5095,32.77,84,58,2.28
214,Hamilton,US,39.1834,-84.5333,34.93,80,0,8.05
215,Huarmey,PE,-10.0681,-78.1522,69.15,82,37,4.12
216,Nanortalik,GL,60.1432,-45.2371,23.86,75,100,6.06
217,Barrow,US,71.2906,-156.7887,-11.18,77,40,18.41
218,Cabo Rojo,PR,18.0866,-67.1457,73.96,89,7,4.79
219,Bethel,US,41.3712,-73.414,37.27,76,0,5.01
220,Mackay,AU,-21.15,149.2,90.68,65,92,10.31
221,Nome,US,64.5011,-165.4064,17.67,93,100,5.75
222,North Bend,US,43.4065,-124.2243,51.93,92,100,4.61
223,Kiruna,SE,67.8557,20.2251,5.92,78,100,5.75
224,Lindi,TZ,-10.0,39.7167,73.29,95,87,1.68
225,Jacqueville,CI,5.2052,-4.4146,79.18,85,77,6.15
226,Chelno-Vershiny,RU,54.4333,51.1,-14.08,98,93,7.09
227,Port Elizabeth,ZA,-33.918,25.5701,64.69,93,0,5.75
228,Iskateley,RU,67.6803,53.1512,-31.88,100,30,3.09
229,Numan,NG,9.4667,12.0333,66.92,28,27,3.8
230,Nyurba,RU,63.2842,118.3319,-15.93,98,100,3.51
231,Ibra,OM,22.6906,58.5334,59.76,81,0,0.54
232,Labuan,MY,5.2767,115.2417,79.16,88,20,0.0
233,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,38,0,2.3
234,Roma,US,43.2128,-75.4557,29.08,80,0,4.61
235,Zemio,CF,5.0314,25.1361,64.33,39,13,2.57
236,Aklavik,CA,68.2191,-135.0107,-17.34,100,76,4.34
237,Henties Bay,NA,-22.116,14.2845,64.71,78,81,7.65
238,Kerouane,GN,9.2667,-9.0167,69.98,34,20,0.6
239,Kozhevnikovo,RU,56.2589,83.9714,25.88,95,100,15.12
240,Kurilsk,RU,45.2333,147.8833,25.68,64,100,2.06
241,Amantea,IT,39.1332,16.0746,55.15,73,22,1.9
242,Rockport,US,28.0206,-97.0544,73.99,96,100,8.05
243,Jose De Freitas,BR,-4.7564,-42.5756,74.35,95,41,4.21
244,Impfondo,CG,1.6381,18.0667,74.41,46,100,3.09
245,Benjamin Constant,BR,-4.3831,-70.0311,75.33,96,85,1.32
246,Leiyang,CN,26.4024,112.8591,64.0,39,54,2.62
247,Payo,ID,-3.7508,103.6372,86.07,61,41,2.26
248,Dhidhdhoo,MV,6.8833,73.1,80.82,71,43,8.34
249,Zhigansk,RU,66.7697,123.3711,-18.22,97,100,10.38
250,Matay,EG,28.419,30.7792,52.05,59,0,4.12
251,Constitucion,CL,-35.3333,-72.4167,57.43,90,0,5.73
252,Grindavik,IS,63.8424,-22.4338,33.75,86,40,24.16
253,Namibe,AO,-15.1961,12.1522,69.57,69,79,7.63
254,Bonavista,CA,48.6499,-53.1147,28.89,79,78,3.24
255,Sete Lagoas,BR,-19.4658,-44.2467,68.88,99,100,4.18
256,Monroe,US,43.1501,-77.6831,31.69,75,40,8.05
257,Birjand,IR,32.8663,59.2211,28.87,74,0,4.61
258,Bayeux,BR,-7.125,-34.9322,79.43,78,20,8.05
259,Korla,CN,41.7597,86.1469,28.15,41,28,2.26
260,Leningradskiy,RU,69.3833,178.4167,-19.77,95,75,4.79
261,Morro Bay,US,35.3658,-120.8499,57.99,80,100,1.01
262,Neiafu,TO,-18.65,-173.9833,84.88,79,75,5.75
263,Bow Island,CA,49.8668,-111.3684,34.86,80,56,9.22
264,Olafsvik,IS,64.8945,-23.7142,36.0,88,100,27.4
265,Pacific Grove,US,36.6177,-121.9166,51.89,85,75,17.27
266,Tilichiki,RU,60.4667,166.1,-20.51,93,41,11.43
267,Balaguer,ES,41.7912,0.8109,40.68,91,100,0.81
268,Dera Gopipur,IN,31.9,76.2167,54.95,46,14,1.92
269,Blind River,CA,46.1834,-82.9582,17.71,90,34,1.9
270,Hokitika,NZ,-42.7167,170.9667,71.37,49,1,9.01
271,Kirakira,SB,-10.4544,161.9205,84.54,68,100,8.01
272,Beringovskiy,RU,63.05,179.3167,5.09,96,100,15.32
273,Nueve De Julio,AR,-35.4444,-60.8831,73.96,50,40,15.82
274,Zemen,BG,42.4789,22.7492,35.62,80,24,2.3
275,Kudahuvadhoo,MV,2.6708,72.8944,81.27,75,25,18.77
276,Mareeba,AU,-17.0,145.4333,81.45,83,100,2.28
277,Bilibino,RU,68.0546,166.4372,-26.46,100,99,1.03
278,Cayenne,GF,4.9333,-52.3333,71.64,100,100,0.0
279,Kaabong,UG,3.4836,34.1492,65.52,51,11,8.1
280,La Plata,AR,-34.9215,-57.9545,77.83,56,54,15.43
281,Xingcheng,CN,40.6167,120.7167,37.87,39,0,5.3
282,Buraydah,SA,26.326,43.975,46.85,50,99,5.37
283,Verkhnyaya Inta,RU,65.9811,60.3094,-38.11,98,18,3.36
284,Pisco,PE,-13.7,-76.2167,69.85,88,0,5.75
285,Sisimiut,GL,66.9395,-53.6735,12.16,80,99,7.94
286,Shingu,JP,33.7333,135.9833,53.01,48,32,4.99
287,Hofn,IS,64.2539,-15.2082,37.42,70,100,23.02
288,Bajil,YE,15.0584,43.2851,73.04,86,13,2.53
289,Mahebourg,MU,-20.4081,57.7,77.29,83,40,8.05
290,Saravan,AM,39.7196,45.6483,22.8,89,100,3.31
291,Nemuro,JP,43.3236,145.575,28.42,61,44,6.67
292,Luderitz,NA,-26.6481,15.1594,63.82,70,0,2.06
293,Hellin,ES,38.5106,-1.701,47.21,70,82,3.87
294,Baykit,RU,61.67,96.37,-15.93,99,100,0.76
295,Saint-Augustin,CA,51.226,-58.6502,16.92,94,100,1.77
296,Den Helder,NL,52.9599,4.7593,46.96,89,100,17.27
297,Ambrolauri,GE,42.5211,43.1622,25.65,97,100,2.19
298,Kuminskiy,RU,58.6667,66.5667,-12.37,93,100,11.12
299,Phuket,TH,8.0,98.25,83.08,69,20,5.75
300,Oum Hadjer,TD,13.2954,19.6966,64.36,21,29,9.08
301,Leamington,CA,42.0549,-82.6062,31.87,80,6,3.98
302,Kaeo,NZ,-35.1,173.7833,72.14,79,55,5.61
303,Leopold,AU,-38.1833,144.4667,85.17,48,0,11.5
304,Sumbe,AO,-11.2061,13.8437,75.61,86,99,2.37
305,Devils Lake,US,48.1128,-98.8651,10.94,86,75,11.5
306,Shushtar,IR,32.0455,48.8567,50.23,69,0,1.97
307,Vestmannaeyjar,IS,63.4427,-20.2734,33.26,73,98,14.41
308,Hambantota,LK,6.1241,81.1185,75.54,100,20,6.91
309,Lasa,IT,46.6166,10.7002,31.03,94,82,3.98
310,Logrono,ES,42.4667,-2.45,49.44,93,100,5.75
311,Yar-Sale,RU,66.8333,70.8333,-38.7,100,39,6.87
312,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,2.3
313,Ndioum,SN,16.5129,-14.6471,74.62,16,100,8.03
314,Ischia,IT,40.7342,13.9471,58.55,87,62,8.01
315,Shaoyang,CN,27.2315,111.4525,59.54,36,37,2.8
316,Otavi,NA,-19.65,17.3333,70.3,48,94,6.04
317,Kangaatsiaq,GL,68.3065,-53.4641,4.5,98,98,6.93
318,Olavarria,AR,-36.8927,-60.3225,69.84,58,0,15.75
319,Marzuq,YE,14.4,46.4667,56.84,73,0,2.91
320,Shizukuishi,JP,39.6833,140.9833,29.17,63,50,9.66
321,Nhulunbuy,AU,-12.2333,136.7667,86.61,74,100,17.27
322,Isangel,VU,-19.55,169.2667,80.37,88,100,12.77
323,Mandalgovi,MN,45.7625,106.2708,19.18,56,100,3.56
324,Ostersund,SE,63.1792,14.6357,32.61,100,100,17.0
325,Mahibadhoo,MV,3.7833,72.9667,80.49,77,27,19.01
326,Angoche,MZ,-16.2325,39.9086,75.52,92,98,7.16
327,Chinhoyi,ZW,-17.3667,30.2,63.07,95,100,4.76
328,Luau,AO,-10.7073,22.2247,62.42,99,100,2.71
329,Mongu,ZM,-15.2484,23.1274,65.84,93,98,1.48
330,Tarazona,ES,41.9,-1.7333,44.42,81,100,9.26
331,Guariba,BR,-21.36,-48.2283,64.53,92,100,6.33
332,Sept-Iles,CA,50.2001,-66.3821,17.6,65,100,13.8
333,Bruck An Der Leitha,AT,48.0167,16.7667,44.67,96,75,12.66
334,Mount Pleasant,US,32.7941,-79.8626,51.94,88,20,0.0
335,Karratha,AU,-20.7377,116.8463,92.77,40,65,16.8
336,Troitskoye,RU,52.9821,84.6757,18.7,91,100,8.1
337,Harper,LR,4.375,-7.7169,78.17,85,70,7.38
338,Lorengau,PG,-2.0226,147.2712,84.43,69,100,4.25
339,Warrnambool,AU,-38.3833,142.4833,79.05,51,1,9.51
340,Pahrump,US,36.2083,-115.9839,47.25,77,100,1.01
341,Nova Granada,BR,-20.5339,-49.3142,71.85,96,100,6.96
342,Dinar,TR,38.065,30.1656,19.36,71,4,2.8
343,Grand Gaube,MU,-20.0064,57.6608,77.4,77,8,5.01
344,Broken Hill,AU,-31.95,141.4333,91.47,17,38,8.37
345,Nuuk,GL,64.1835,-51.7216,22.87,100,100,8.99
346,Limbe,CM,4.0242,9.2149,77.92,80,89,3.2
347,Maragogi,BR,-9.0122,-35.2225,76.86,77,15,7.58
348,Bethanien,NA,-26.502,17.1583,69.94,24,0,2.46
349,Hede,CN,33.7681,120.2517,57.72,35,0,10.89
350,Fomboni,KM,-12.28,43.7425,82.11,76,77,11.1
351,Grand Forks,US,47.9417,-97.4337,6.73,78,0,11.5
352,Bubaque,GW,11.2833,-15.8333,79.41,55,87,12.15
353,Nishihara,JP,26.1842,127.7558,67.28,57,40,9.22
354,Geraldton,AU,-28.7667,114.6,82.81,42,0,17.27
355,Caravelas,BR,-17.7125,-39.2481,74.1,95,100,4.18
356,Kathmandu,NP,27.7167,85.3167,44.82,70,20,2.3
357,Kapoeta,SS,4.7717,33.5903,75.96,33,30,2.66
358,Pierre,US,44.3683,-100.351,18.05,85,0,5.01
359,Pangnirtung,CA,66.1451,-65.7125,-3.12,82,100,3.62
360,Keti Bandar,PK,24.1447,67.4497,63.21,22,0,10.89
361,Yeppoon,AU,-23.1333,150.7333,87.58,64,16,9.6
362,Inverness,GB,57.4791,-4.224,44.51,83,75,20.71
363,Staryy Nadym,RU,65.6118,72.6842,-37.34,90,12,8.61
364,Mahon,ES,39.8885,4.2658,59.56,82,75,16.11
365,Pilar,BR,-9.5972,-35.9567,71.53,88,22,4.61
366,Lamesa,US,32.7376,-101.951,43.52,41,100,7.14
367,Iquique,CL,-20.2208,-70.1431,66.24,77,24,0.87
368,Dehloran,IR,32.6941,47.2679,50.94,68,57,3.76
369,Waddan,LY,29.1614,16.139,48.85,74,8,5.77
370,Shimoda,JP,34.6667,138.95,53.96,56,25,3.31
371,Yatou,CN,37.15,122.3833,45.88,80,24,12.48
372,Pombas,CV,17.1503,-25.0201,69.58,61,0,18.66
373,Nantucket,US,41.2835,-70.0995,41.05,80,77,20.58
374,Maniitsoq,GL,65.4167,-52.9,22.66,92,100,7.31
375,Coihaique,CL,-45.5752,-72.0662,57.15,88,75,3.44
376,Khandbari,NP,27.3747,87.2039,63.59,29,0,0.07
377,Carupano,VE,10.6678,-63.2585,73.96,91,100,5.32
378,Nouadhibou,MR,20.931,-17.0347,67.12,47,84,16.42
379,Osakarovka,KZ,50.565,72.5692,34.77,99,100,23.06
380,Axim,GH,4.8699,-2.2405,78.08,86,12,2.84
381,Robertsport,LR,6.7533,-11.3686,78.55,78,6,7.58
382,Langnau,CH,46.9394,7.7874,39.65,70,78,2.48
383,Balili,PH,7.895,123.7337,76.26,84,100,9.82
384,Bodden Town,KY,19.2833,-81.25,78.93,78,0,11.5
385,Moose Factory,CA,51.2585,-80.6094,10.4,79,75,19.57
386,Santa Cruz De La Palma,ES,28.6835,-17.7642,62.74,72,0,10.36
387,Key Largo,US,25.0865,-80.4473,71.01,72,0,15.08
388,Rawlins,US,41.7911,-107.2387,16.83,90,17,9.44
389,Roebourne,AU,-20.7833,117.1333,98.19,27,74,5.1
390,Port Moresby,PG,-9.4431,147.1797,90.82,55,40,11.5
391,Zeya,RU,53.75,127.2667,-5.51,89,88,1.45
392,Hornepayne,CA,49.2138,-84.7705,16.29,92,80,12.01
393,Binzhou,CN,37.3667,118.0167,48.25,30,0,5.84
394,Qasigiannguit,GL,68.8193,-51.1922,-6.81,83,74,5.3
395,Ilhabela,BR,-23.7781,-45.3581,69.24,85,99,1.72
396,Delijan,IR,33.9905,50.6838,36.03,66,4,3.71
397,Stryn,NO,61.9045,6.7226,52.68,86,100,7.61
398,Godda,IN,24.8333,87.2167,54.86,35,0,6.55
399,Skjervoy,NO,70.0311,20.9714,14.0,81,84,35.5
400,Piacabucu,BR,-10.4056,-36.4344,77.0,80,45,8.97
401,Port-Cartier,CA,50.0334,-66.8654,17.28,71,15,14.81
402,Monmouth,US,40.3001,-74.1663,41.83,80,0,8.05
403,Fort Nelson,CA,58.8053,-122.7002,4.59,85,75,2.3
404,Felanitx,ES,39.4696,3.1483,59.52,76,22,20.27
405,Tateyama,JP,34.9833,139.8667,51.01,48,0,6.04
406,Lakes Entrance,AU,-37.8811,147.981,74.16,58,0,11.72
407,Uyuni,BO,-20.4597,-66.825,50.94,65,87,11.92
408,Banikoara,BJ,11.2985,2.4386,69.69,21,18,6.06
409,Necochea,AR,-38.5473,-58.7368,69.44,60,71,17.49
